                                           Experiment  Subset   Metric  File     Value                                  Model        CNN          RNN  LENGTH
103  Evaluation-ResNet152_Transformer-finetuned-clip2       3  ROC-AUC     4  0.894101  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer       3
104  Evaluation-ResNet152_Transformer-finetuned-clip2       3  ROC-AUC     5  0.927571  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer       3
105  Evaluation-ResNet152_Transformer-finetuned-clip2      15  ROC-AUC     1  0.926214  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer      15
106  Evaluation-ResNet152_Transformer-finetuned-clip2      15  ROC-AUC     2  0.936985  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer      15
107  Evaluation-ResNet152_Transformer-finetuned-clip2      15  ROC-AUC     3  0.939297  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer      15
108  Evaluation-ResNet152_Transformer-finetuned-clip2      15  ROC-AUC     4  0.904677  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer      15
109  Evaluation-ResNet152_Transformer-finetuned-clip2      15  ROC-AUC     5  0.931407  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer      15
110  Evaluation-ResNet152_Transformer-finetuned-clip2      60  ROC-AUC     1  0.924730  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer      60
111  Evaluation-ResNet152_Transformer-finetuned-clip2      60  ROC-AUC     2  0.931994  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer      60
112  Evaluation-ResNet152_Transformer-finetuned-clip2      60  ROC-AUC     3  0.938018  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer      60
113  Evaluation-ResNet152_Transformer-finetuned-clip2      60  ROC-AUC     4  0.903593  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer      60
114  Evaluation-ResNet152_Transformer-finetuned-clip2      60  ROC-AUC     5  0.934717  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer      60
115  Evaluation-ResNet152_Transformer-finetuned-clip2     180  ROC-AUC     1  0.918446  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer     180
116  Evaluation-ResNet152_Transformer-finetuned-clip2     180  ROC-AUC     2  0.928362  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer     180
