                                            Experiment  Subset        Metric  File     Value                                  Model        CNN          RNN  LENGTH
153         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Vis     4  0.416599        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
154         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Vis     5  0.561690        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
155         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Cap     1  0.758489        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
156         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Cap     2  0.733346        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
157         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Cap     3  0.617640        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
158         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Cap     4  0.649408        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
159         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Cap     5  0.772866        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
160         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Hyd     1  0.680770        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
161         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Hyd     2  0.674362        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
162         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Hyd     3  0.619909        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
163         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Hyd     4  0.455034        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
164         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Hyd     5  0.638204        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
165         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Pha     1  0.910694        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
166         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Pha     2  0.953218        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
