                                           Experiment  Subset        Metric  File     Value                                  Model        CNN          RNN  LENGTH
152       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-1st     3  0.676738       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
153       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-1st     4  0.635168       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
154       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-1st     5  0.626108       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
155       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-2nd     1  0.167784       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
156       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-2nd     2  0.142082       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
157       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-2nd     3  0.146686       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
158       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-2nd     4  0.175292       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
159       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-2nd     5  0.180553       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
160       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-3rd     1  0.072235       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
161       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-3rd     2  0.071725       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
162       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-3rd     3  0.076451       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
163       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-3rd     4  0.075686       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
164       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-3rd     5  0.081159       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
