                           Experiment        Metric  File     Value                  Model        CNN          RNN
173          Evaluation-ResNet152_GRU   F1-Score-LI     4  0.882353          ResNet152-GRU  ResNet152          GRU
174          Evaluation-ResNet152_GRU   F1-Score-LI     5  0.838095          ResNet152-GRU  ResNet152          GRU
175          Evaluation-ResNet152_GRU   F1-Score-LP     1  0.800000          ResNet152-GRU  ResNet152          GRU
176          Evaluation-ResNet152_GRU   F1-Score-LP     2  0.773585          ResNet152-GRU  ResNet152          GRU
177          Evaluation-ResNet152_GRU   F1-Score-LP     3  0.679245          ResNet152-GRU  ResNet152          GRU
178          Evaluation-ResNet152_GRU   F1-Score-LP     4  0.785047          ResNet152-GRU  ResNet152          GRU
179          Evaluation-ResNet152_GRU   F1-Score-LP     5  0.680851          ResNet152-GRU  ResNet152          GRU
180          Evaluation-ResNet152_GRU  F1-Score-ACF     1  0.725664          ResNet152-GRU  ResNet152          GRU
181          Evaluation-ResNet152_GRU  F1-Score-ACF     2  0.728814          ResNet152-GRU  ResNet152          GRU
182          Evaluation-ResNet152_GRU  F1-Score-ACF     3  0.584906          ResNet152-GRU  ResNet152          GRU
183          Evaluation-ResNet152_GRU  F1-Score-ACF     4  0.825688          ResNet152-GRU  ResNet152          GRU
184          Evaluation-ResNet152_GRU  F1-Score-ACF     5  0.650000          ResNet152-GRU  ResNet152          GRU
185          Evaluation-ResNet152_GRU   F1-Score-VS     1  0.880000          ResNet152-GRU  ResNet152          GRU
186          Evaluation-ResNet152_GRU   F1-Score-VS     2  0.842105          ResNet152-GRU  ResNet152          GRU
187          Evaluation-ResNet152_GRU   F1-Score-VS     3  0.828283          ResNet152-GRU  ResNet152          GRU
188          Evaluation-ResNet152_GRU   F1-Score-VS     4  0.710280          ResNet152-GRU  ResNet152          GRU
189          Evaluation-ResNet152_GRU   F1-Score-VS     5  0.876190          ResNet152-GRU  ResNet152          GRU
190          Evaluation-ResNet152_GRU   F1-Score-TA     1  0.731707          ResNet152-GRU  ResNet152          GRU
191          Evaluation-ResNet152_GRU   F1-Score-TA     2  0.660377          ResNet152-GRU  ResNet152          GRU
192          Evaluation-ResNet152_GRU   F1-Score-TA     3  0.659341          ResNet152-GRU  ResNet152          GRU
193          Evaluation-ResNet152_GRU   F1-Score-TA     4  0.733333          ResNet152-GRU  ResNet152          GRU
194          Evaluation-ResNet152_GRU   F1-Score-TA     5  0.693548          ResNet152-GRU  ResNet152          GRU
195         Evaluation-ResNet152_LSTM  F1-Score-Idl     1  0.666667         ResNet152-LSTM  ResNet152         LSTM
196         Evaluation-ResNet152_LSTM  F1-Score-Idl     2  0.734694         ResNet152-LSTM  ResNet152         LSTM
197         Evaluation-ResNet152_LSTM  F1-Score-Idl     3  0.666667         ResNet152-LSTM  ResNet152         LSTM
198         Evaluation-ResNet152_LSTM  F1-Score-Idl     4  0.650794         ResNet152-LSTM  ResNet152         LSTM
199         Evaluation-ResNet152_LSTM  F1-Score-Idl     5  0.519231         ResNet152-LSTM  ResNet152         LSTM
200         Evaluation-ResNet152_LSTM  F1-Score-Inc     1  0.945455         ResNet152-LSTM  ResNet152         LSTM
201         Evaluation-ResNet152_LSTM  F1-Score-Inc     2  0.796460         ResNet152-LSTM  ResNet152         LSTM
202         Evaluation-ResNet152_LSTM  F1-Score-Inc     3  0.759259         ResNet152-LSTM  ResNet152         LSTM
203         Evaluation-ResNet152_LSTM  F1-Score-Inc     4  0.722222         ResNet152-LSTM  ResNet152         LSTM
204         Evaluation-ResNet152_LSTM  F1-Score-Inc     5  0.744828         ResNet152-LSTM  ResNet152         LSTM
205         Evaluation-ResNet152_LSTM  F1-Score-Vis     1  0.800000         ResNet152-LSTM  ResNet152         LSTM
206         Evaluation-ResNet152_LSTM  F1-Score-Vis     2  0.632479         ResNet152-LSTM  ResNet152         LSTM
207         Evaluation-ResNet152_LSTM  F1-Score-Vis     3  0.648649         ResNet152-LSTM  ResNet152         LSTM
208         Evaluation-ResNet152_LSTM  F1-Score-Vis     4  0.666667         ResNet152-LSTM  ResNet152         LSTM
209         Evaluation-ResNet152_LSTM  F1-Score-Vis     5  0.648649         ResNet152-LSTM  ResNet152         LSTM
210         Evaluation-ResNet152_LSTM  F1-Score-Cap     1  0.789474         ResNet152-LSTM  ResNet152         LSTM
211         Evaluation-ResNet152_LSTM  F1-Score-Cap     2  0.762887         ResNet152-LSTM  ResNet152         LSTM
212         Evaluation-ResNet152_LSTM  F1-Score-Cap     3  0.783505         ResNet152-LSTM  ResNet152         LSTM
213         Evaluation-ResNet152_LSTM  F1-Score-Cap     4  0.807339         ResNet152-LSTM  ResNet152         LSTM
214         Evaluation-ResNet152_LSTM  F1-Score-Cap     5  0.781818         ResNet152-LSTM  ResNet152         LSTM
215         Evaluation-ResNet152_LSTM  F1-Score-Hyd     1  0.833333         ResNet152-LSTM  ResNet152         LSTM
216         Evaluation-ResNet152_LSTM  F1-Score-Hyd     2  0.785047         ResNet152-LSTM  ResNet152         LSTM
217         Evaluation-ResNet152_LSTM  F1-Score-Hyd     3  0.812500         ResNet152-LSTM  ResNet152         LSTM
218         Evaluation-ResNet152_LSTM  F1-Score-Hyd     4  0.759259         ResNet152-LSTM  ResNet152         LSTM
219         Evaluation-ResNet152_LSTM  F1-Score-Hyd     5  0.742268         ResNet152-LSTM  ResNet152         LSTM
220         Evaluation-ResNet152_LSTM  F1-Score-Pha     1  0.935780         ResNet152-LSTM  ResNet152         LSTM
221         Evaluation-ResNet152_LSTM  F1-Score-Pha     2  0.960784         ResNet152-LSTM  ResNet152         LSTM
222         Evaluation-ResNet152_LSTM  F1-Score-Pha     3  0.897959         ResNet152-LSTM  ResNet152         LSTM
223         Evaluation-ResNet152_LSTM  F1-Score-Pha     4  0.860000         ResNet152-LSTM  ResNet152         LSTM
224         Evaluation-ResNet152_LSTM  F1-Score-Pha     5  0.935780         ResNet152-LSTM  ResNet152         LSTM
225         Evaluation-ResNet152_LSTM   F1-Score-IA     1  0.878049         ResNet152-LSTM  ResNet152         LSTM
226         Evaluation-ResNet152_LSTM   F1-Score-IA     2  0.851852         ResNet152-LSTM  ResNet152         LSTM
227         Evaluation-ResNet152_LSTM   F1-Score-IA     3  0.828283         ResNet152-LSTM  ResNet152         LSTM
228         Evaluation-ResNet152_LSTM   F1-Score-IA     4  0.809917         ResNet152-LSTM  ResNet152         LSTM
229         Evaluation-ResNet152_LSTM   F1-Score-IA     5  0.810345         ResNet152-LSTM  ResNet152         LSTM
230         Evaluation-ResNet152_LSTM   F1-Score-CP     1  0.854701         ResNet152-LSTM  ResNet152         LSTM
231         Evaluation-ResNet152_LSTM   F1-Score-CP     2  0.846847         ResNet152-LSTM  ResNet152         LSTM
232         Evaluation-ResNet152_LSTM   F1-Score-CP     3  0.765217         ResNet152-LSTM  ResNet152         LSTM
