                                       Experiment        Metric  File     Value                              Model        CNN          RNN  finetuned  Blocks
127         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-VS     3  0.361702         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
128         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-VS     4  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
129         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-VS     5  0.622222         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
130         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-TA     1  0.366864         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
131         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-TA     2  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
132         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-TA     3  0.340249         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
133         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-TA     4  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
134         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-TA     5  0.290323         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
135         Evaluation-ResNet152_LSTM10-finetuned      F1-Score     1  0.305548         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
136         Evaluation-ResNet152_LSTM10-finetuned      F1-Score     2  0.232881         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
137         Evaluation-ResNet152_LSTM10-finetuned      F1-Score     3  0.204487         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
138         Evaluation-ResNet152_LSTM10-finetuned      F1-Score     4  0.188748         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
139         Evaluation-ResNet152_LSTM10-finetuned      F1-Score     5  0.303033         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
140          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Idl     1  0.313043          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
