                                       Experiment        Metric  File     Value                              Model        CNN          RNN  finetuned  Blocks
153         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-1st     4  0.439161         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
154         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-1st     5  0.463018         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
155         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-2nd     1  0.216180         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
156         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-2nd     2  0.181698         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
157         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-2nd     3  0.199372         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
158         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-2nd     4  0.209790         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
159         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-2nd     5  0.195266         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
160         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-3rd     1  0.120690         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
161         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-3rd     2  0.122016         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
162         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-3rd     3  0.117739         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
163         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-3rd     4  0.114685         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
164         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-3rd     5  0.107988         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
165         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-4th     1  0.071618         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
166         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-4th     2  0.061008         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
167         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-4th     3  0.064364         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
168         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-4th     4  0.067133         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
169         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-4th     5  0.085799         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
170         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-5th     1  0.053050         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
171         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-5th     2  0.050398         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
172         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-5th     3  0.020408         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
173         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-5th     4  0.064336         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
174         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-5th     5  0.042899         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
175         Evaluation-ResNet152_Mamba5-finetuned      Accuracy     1  0.411141         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
176         Evaluation-ResNet152_Mamba5-finetuned      Accuracy     2  0.494695         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
177         Evaluation-ResNet152_Mamba5-finetuned      Accuracy     3  0.533752         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
178         Evaluation-ResNet152_Mamba5-finetuned      Accuracy     4  0.439161         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
179         Evaluation-ResNet152_Mamba5-finetuned      Accuracy     5  0.463018         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
180    Evaluation-ResNet152_Transformer-finetuned  Accuracy-1st     1  0.531830    ResNet152-Transformer-finetuned  ResNet152  Transformer       True       1
181    Evaluation-ResNet152_Transformer-finetuned  Accuracy-1st     2  0.586207    ResNet152-Transformer-finetuned  ResNet152  Transformer       True       1
182    Evaluation-ResNet152_Transformer-finetuned  Accuracy-1st     3  0.569859    ResNet152-Transformer-finetuned  ResNet152  Transformer       True       1
183    Evaluation-ResNet152_Transformer-finetuned  Accuracy-1st     4  0.495105    ResNet152-Transformer-finetuned  ResNet152  Transformer       True       1
184    Evaluation-ResNet152_Transformer-finetuned  Accuracy-1st     5  0.529586    ResNet152-Transformer-finetuned  ResNet152  Transformer       True       1
185    Evaluation-ResNet152_Transformer-finetuned  Accuracy-2nd     1  0.190981    ResNet152-Transformer-finetuned  ResNet152  Transformer       True       1
186    Evaluation-ResNet152_Transformer-finetuned  Accuracy-2nd     2  0.185676    ResNet152-Transformer-finetuned  ResNet152  Transformer       True       1
187    Evaluation-ResNet152_Transformer-finetuned  Accuracy-2nd     3  0.193093    ResNet152-Transformer-finetuned  ResNet152  Transformer       True       1
188    Evaluation-ResNet152_Transformer-finetuned  Accuracy-2nd     4  0.213986    ResNet152-Transformer-finetuned  ResNet152  Transformer       True       1
189    Evaluation-ResNet152_Transformer-finetuned  Accuracy-2nd     5  0.210059    ResNet152-Transformer-finetuned  ResNet152  Transformer       True       1
190    Evaluation-ResNet152_Transformer-finetuned  Accuracy-3rd     1  0.112732    ResNet152-Transformer-finetuned  ResNet152  Transformer       True       1
